,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu[131],0.395,0.059,0.284,0.505,0.001,0.001,8433.0,4953.0,1.0
mu[132],0.34,0.05,0.254,0.44,0.0,0.001,10105.0,4405.0,1.0
mu[133],0.296,0.047,0.21,0.383,0.0,0.001,9544.0,4525.0,1.0
mu[134],0.353,0.059,0.247,0.464,0.001,0.001,9598.0,5550.0,1.0
mu[135],0.341,0.053,0.242,0.437,0.001,0.001,9806.0,4944.0,1.0
mu[136],0.322,0.045,0.238,0.407,0.0,0.001,10515.0,4811.0,1.0
mu[137],0.262,0.041,0.19,0.342,0.0,0.001,10094.0,4570.0,1.0
mu[138],0.282,0.042,0.207,0.363,0.0,0.001,9746.0,4237.0,1.0
mu[139],0.306,0.069,0.182,0.438,0.001,0.001,8871.0,4604.0,1.0
mu[140],0.119,0.027,0.07,0.17,0.0,0.0,7199.0,5207.0,1.0
mu[141],0.263,0.041,0.184,0.337,0.0,0.001,12673.0,4725.0,1.0
mu[142],0.248,0.04,0.177,0.328,0.0,0.001,10955.0,4412.0,1.0
mu[143],0.322,0.05,0.233,0.417,0.001,0.001,9130.0,4732.0,1.0
mu[144],0.294,0.047,0.201,0.375,0.0,0.001,11441.0,4152.0,1.0
mu[145],0.193,0.035,0.128,0.258,0.0,0.0,9752.0,4384.0,1.0
mu[146],0.588,0.051,0.494,0.685,0.001,0.001,10367.0,5027.0,1.0
mu[147],0.688,0.051,0.591,0.781,0.001,0.001,8670.0,5073.0,1.0
mu[148],0.428,0.059,0.313,0.531,0.001,0.001,7813.0,4937.0,1.0
mu[149],0.575,0.051,0.481,0.672,0.0,0.001,11795.0,4595.0,1.0
mu[150],0.61,0.05,0.513,0.701,0.0,0.001,11974.0,4901.0,1.0
mu[151],0.413,0.06,0.303,0.525,0.001,0.001,7928.0,5378.0,1.0
mu[152],0.399,0.054,0.3,0.5,0.001,0.001,8239.0,4506.0,1.0
mu[153],0.406,0.058,0.291,0.51,0.001,0.001,10062.0,4985.0,1.0
mu[154],0.36,0.047,0.267,0.444,0.0,0.001,10016.0,4649.0,1.0
mu[155],0.463,0.056,0.363,0.576,0.001,0.001,9848.0,5010.0,1.0
mu[156],0.387,0.071,0.252,0.517,0.001,0.001,10802.0,4475.0,1.0
mu[157],0.273,0.052,0.174,0.367,0.001,0.001,7037.0,4740.0,1.0
mu[158],0.34,0.048,0.254,0.433,0.0,0.001,11217.0,4291.0,1.0
mu[159],0.181,0.039,0.109,0.251,0.0,0.001,9181.0,4670.0,1.0
mu[160],0.304,0.046,0.224,0.396,0.0,0.001,9852.0,5046.0,1.0
mu[161],0.341,0.053,0.242,0.437,0.001,0.001,9806.0,4944.0,1.0
mu[162],0.295,0.053,0.2,0.396,0.001,0.001,11208.0,4891.0,1.0
mu[163],0.354,0.051,0.258,0.447,0.0,0.001,10553.0,5261.0,1.0
mu[164],0.283,0.051,0.186,0.375,0.001,0.001,8702.0,4059.0,1.0
mu[165],0.266,0.043,0.187,0.348,0.0,0.001,10333.0,4970.0,1.0
mu[166],0.369,0.053,0.276,0.472,0.001,0.001,8607.0,5103.0,1.0
mu[167],0.165,0.031,0.108,0.224,0.0,0.0,7580.0,4548.0,1.0
mu[168],0.248,0.04,0.177,0.328,0.0,0.001,10955.0,4412.0,1.0
mu[169],0.371,0.057,0.268,0.479,0.001,0.001,9563.0,4961.0,1.0
mu[170],0.322,0.05,0.233,0.417,0.001,0.001,9130.0,4732.0,1.0
mu[171],0.294,0.047,0.201,0.375,0.0,0.001,11441.0,4152.0,1.0
mu[172],0.641,0.054,0.537,0.739,0.001,0.001,9894.0,4693.0,1.0
mu[173],0.612,0.062,0.489,0.719,0.001,0.001,11550.0,4072.0,1.0
mu[174],0.643,0.049,0.551,0.732,0.0,0.001,10755.0,5015.0,1.0
mu[175],0.619,0.06,0.505,0.728,0.001,0.001,9475.0,4726.0,1.0
mu[176],0.578,0.054,0.472,0.674,0.001,0.001,10476.0,4654.0,1.0
mu[177],0.397,0.067,0.265,0.515,0.001,0.001,8588.0,4766.0,1.0
mu[178],0.556,0.053,0.464,0.662,0.001,0.001,11374.0,4490.0,1.0
mu[179],0.649,0.051,0.549,0.74,0.0,0.001,11202.0,4735.0,1.0
mu[180],0.465,0.058,0.36,0.576,0.001,0.001,9614.0,4466.0,1.0
mu[181],0.231,0.049,0.144,0.33,0.001,0.001,7325.0,4753.0,1.0
mu[182],0.353,0.052,0.258,0.452,0.001,0.001,7267.0,4910.0,1.0
mu[183],0.319,0.056,0.216,0.423,0.001,0.001,8634.0,4627.0,1.0
mu[184],0.382,0.06,0.268,0.488,0.001,0.001,9071.0,4901.0,1.0
mu[185],0.342,0.059,0.233,0.452,0.001,0.001,9254.0,4768.0,1.0
mu[186],0.372,0.053,0.272,0.471,0.001,0.001,7715.0,4665.0,1.0
mu[187],0.339,0.049,0.24,0.428,0.001,0.001,7172.0,4942.0,1.0
mu[188],0.343,0.056,0.24,0.452,0.001,0.001,8725.0,4630.0,1.0
mu[189],0.45,0.065,0.333,0.573,0.001,0.001,7593.0,4664.0,1.0
mu[190],0.384,0.055,0.283,0.488,0.001,0.001,7998.0,5123.0,1.0
mu[191],0.378,0.077,0.232,0.519,0.001,0.001,9534.0,4073.0,1.0
mu[192],0.35,0.058,0.244,0.459,0.001,0.001,7864.0,4306.0,1.0
mu[193],0.33,0.051,0.233,0.426,0.001,0.001,8105.0,5013.0,1.0
mu[194],0.179,0.042,0.107,0.261,0.001,0.0,6410.0,4870.0,1.0
mu[195],0.157,0.038,0.085,0.226,0.001,0.0,5913.0,4665.0,1.0
mu[196],0.333,0.068,0.212,0.463,0.001,0.001,10209.0,4323.0,1.0
mu[197],0.212,0.041,0.137,0.29,0.001,0.0,5573.0,4463.0,1.0
mu[198],0.327,0.049,0.238,0.425,0.001,0.001,7800.0,4738.0,1.0
mu[199],0.365,0.059,0.251,0.47,0.001,0.001,7377.0,5130.0,1.0
mu[200],0.424,0.062,0.305,0.537,0.001,0.001,8140.0,4699.0,1.0
mu[201],0.468,0.072,0.33,0.602,0.001,0.001,7397.0,4960.0,1.0
mu[202],0.302,0.055,0.196,0.402,0.001,0.001,8907.0,4624.0,1.0
mu[203],0.122,0.031,0.07,0.183,0.0,0.0,5047.0,4958.0,1.0
mu[204],0.334,0.051,0.243,0.432,0.001,0.001,7868.0,4948.0,1.0
mu[205],0.238,0.044,0.158,0.32,0.001,0.001,6027.0,5080.0,1.0
mu[206],0.354,0.065,0.233,0.478,0.001,0.001,8708.0,4738.0,1.0
