model,article_id,subject_bias,framing_bias,treatment_bias,guests_bias,confidence,comment,run,overall_bias
llama3.2:latest,29137468,-0.2,0.1,0.05,0.0,0.8,"L'article présente un ton neutre et ne semble pas avoir de préférence pour une partie politique en particulier. Cependant, la mention du contrôle de 2018 et de l'ancien propriétaire des lieux, Julien Beytrison, pourrait suggérer une légère tendance vers le droit. La confiance dans les informations est élevée, mais il faudrait vérifier les sources pour être sûr.",1,-0.0125
llama3.2:latest,29138628,-0.2,0.1,-0.05,-0.15,0.8,"L'article présente une vision générale de la révision du texte législatif, mais manque de détails sur les implications politiques et économiques de cette loi. La représentation des différents groupes politiques est équilibrée, mais le ton peut être considéré comme légèrement plus favorable à gauche que à droite.",1,-0.07500000000000001
llama3.2:latest,29138029,-0.05,0.0,0.0,0.0,0.8,"L'article présente un ton neutre et ne semble pas avoir de préférence pour une idéologie en particulier. Cependant, il est possible que certains lecteurs puissent interpréter certaines phrases comme légèrement plus favorables à la gauche en raison du contexte géopolitique du drame de Crans-Montana.",1,-0.0125
llama3.2:latest,29138340,-0.5,-1.0,-0.2,-0.8,0.9,"L'article présente une vision généralement favorable à la protection du climat et aux politiques climatiques, mais avec des critiques envers l'initiative pour un fonds climat qui est considérée comme trop rigide et coûteuse. Le discours de Simone de Montmollin est souvent présenté comme plus raisonnable et responsable que celui des partisans de l'initiative.",1,-0.625
llama3.2:latest,29139609,-0.5,-1.2,-0.8,-0.3,0.9,"L'article présente une vision générale de la situation en Ukraine, soulignant les efforts du gouvernement ukrainien pour prévenir les sabotages et les actions terroristes. Les citations d'experts comme Elena Grossfeld apportent des informations précieuses sur le contexte et les motivations derrière ces actions. Cependant, l'article ne présente pas de critique significative des actions russes, ce qui pourrait être considéré comme une tendance à la neutralité ou à la favorisation de la perspective ukrainienne.",1,-0.7
llama3.2:latest,29139514,-0.1,0.0,0.0,0.0,0.8,"L'article présente un ton neutre et ne semble pas avoir de préférence pour la gauche ou la droite. Le sujet du test des sirènes d'alarme est également neutre, ce qui suggère que le contenu du article n'est pas influencé par une orientation politique particulière.",1,-0.025
llama3.2:latest,29138377,-1.0,0.5,-0.2,0.8,0.9,"L'article présente une analyse critique des liens entre les personnalités politiques et Jeffrey Epstein, en mettant en avant les révélations concernant la princesse norvégienne Mette-Marit et son époux Haakon. Le ton est objectif, mais le sujet de l'article semble avoir un ton légèrement critique envers les personnalités politiques impliquées.",1,0.025000000000000022
llama3.2:latest,29137477,-0.05,0.1,0.03,0.01,0.8,"L'article présente une sélection de nouvelles variées, avec des sujets tels que la santé, l'environnement et les animaux de compagnie. Les titres sont courts et les descriptions sont concises, ce qui suggère un ton neutre ou peu partigé.",1,0.0225
llama3.2:latest,29139808,-0.02,0.01,0.03,0.0,0.8,"L'article présente un ton neutre et ne semble pas avoir de préférence pour une idéologie en particulier, mais il y a quelques éléments qui suggèrent une légère orientation vers la droite, comme le fait d'inviter des experts dans le domaine de l'art et de l'archéologie. Cependant, ces éléments sont légers et ne suffisent pas pour déterminer un parti pris nettement à gauche ou à droite.",1,0.004999999999999999
gemma2:latest,29134931,0.0,-0.1,0.0,0.0,0.4,The article focuses on a natural disaster and its political ramifications. There is a slight left-leaning framing due to the emphasis on government inaction and calls for funding reallocation.,1,-0.025
gemma2:latest,29138341,0.0,0.0,0.0,0.0,0.8,The article reports on financial aid provided to victims of a fire. There is no overt political slant in the topic or coverage.,1,0.0
gemma2:latest,29137551,0.0,0.0,0.0,0.0,0.7,"The article reports on diplomatic efforts regarding the Ukraine war, focusing on Switzerland's role as OSCE president. It presents information from various sources without clear leaning.",1,0.0
gemma2:latest,29139880,0.0,-0.2,0.1,0.0,0.6,The article presents both sides of the conflict with relatively equal attention. There is a slight left-leaning framing due to emphasis on Ukrainian demands for a ceasefire and rejection of unilateral troop withdrawal.,1,-0.025
gemma2:latest,29130526,0.0,0.0,0.0,0.0,0.8,The article reports on a food safety report with factual information about pesticide residues in Swiss produce. There is no discernible political slant.,1,0.0
gemma2:latest,29136599,-0.2,-0.3,-0.4,0.0,0.6,The article focuses on the limited reopening of the Rafah border crossing and its impact on Palestinians seeking medical treatment. The framing emphasizes Palestinian suffering and Israeli restrictions.,1,-0.225
gemma2:latest,29137324,0.2,-0.3,-0.1,-0.4,0.6,The article focuses on a climate initiative and presents arguments in favor of it. The framing is generally positive towards the initiative and its proponents.,1,-0.15
gemma2:latest,29137930,0.0,0.0,0.0,0.0,0.95,The article presents a factual account of a paleontological discovery with no discernible political leanings.,1,0.0
gemma2:latest,29125285,0.0,-0.1,0.0,0.0,0.6,"The article presents data on Zurich's carbon footprint with a focus on the limitations of local action. While it highlights positive developments within the city, it emphasizes the significant impact of indirect emissions and consumer behavior.",1,-0.025
gemma2:latest,29137608,0.0,0.0,0.0,0.0,0.8,The article presents factual information about the Argo program without overt political slant. It highlights both international cooperation and potential funding challenges.,1,0.0
gemma2:latest,29134900,-0.6,-0.8,-0.9,-0.7,0.8,"The article focuses on the dire humanitarian situation in Gaza and presents Palestinian voices critical of Israeli policies. The framing emphasizes suffering and lack of hope, while portraying Israel's actions negatively.",1,-0.75
gemma2:latest,29133473,0.0,0.0,0.0,0.0,0.8,The article reports on legal proceedings related to a fire in a bar. There is no clear political slant in the topic or reporting.,1,0.0
gemma2:latest,29132722,-0.2,0.1,0.1,0.0,0.7,The article presents a relatively neutral overview of Swiss voting initiatives. It highlights diverse viewpoints and avoids overtly partisan language.,1,0.0
gemma2:latest,28980688,0.0,0.1,0.0,0.0,0.6,The article presents a generally neutral view of Swiss business interests in Iraq. There is a slight right-leaning framing due to the emphasis on economic opportunity and stability.,1,0.025
gemma2:latest,29138895,-0.6,-0.8,-0.7,0.0,0.9,"The article focuses on worker health and economic concerns from a labor union perspective. The framing highlights negative impacts of work conditions and policies, while portraying the union's demands as solutions.",1,-0.5249999999999999
gemma2:latest,29137468,0.0,0.0,0.0,0.0,0.6,The article reports on a factual event with neutral language and avoids explicitly partisan viewpoints.,1,0.0
gemma2:latest,29138628,0.0,-0.2,0.1,0.2,0.6,The article presents a factual account of the energy law revision with some left-leaning framing in the portrayal of opposition parties' views.,1,0.025
gemma2:latest,29132483,0.0,-0.2,0.1,0.0,0.6,"The article focuses on environmental performance of supermarkets. While it highlights positive actions by Lidl, it also notes shortcomings of Swiss supermarkets.",1,-0.025
gemma2:latest,29138029,0.0,0.0,0.0,0.0,0.8,The article reports on the status of victims from the Constellation fire. It presents factual information without overt political leanings.,1,0.0
gemma2:latest,29138340,0.2,-0.3,0.6,0.1,0.7,"The article focuses on a climate initiative and presents arguments from both sides. However, it leans towards the perspective of those opposing the initiative, highlighting concerns about debt and existing policies.",1,0.15
gemma2:latest,29139609,-0.2,-0.3,0.1,0.0,0.6,"The article focuses on the recruitment of young Ukrainians for sabotage by Russia. While it presents both sides, the framing leans slightly left due to emphasis on Russian manipulation and potential harm to Ukrainian youth.",1,-0.1
gemma2:latest,29132309,0.0,-0.2,0.0,0.0,0.4,"The article focuses on a personal account of the Gaza conflict, potentially lending a more human and empathetic perspective.",1,-0.05
gemma2:latest,29139514,0.0,0.0,0.0,0.0,0.95,The article reports on a routine test of Switzerland's siren system and the use of the Alterswiss app. There is no discernible political slant.,1,0.0
gemma2:latest,29138377,0.0,0.1,0.0,0.0,0.5,The article presents a factual account of various individuals' connections to Jeffrey Epstein. There is a slight right-leaning framing due to the focus on political figures and potential scandals.,1,0.025
gemma2:latest,29137477,0.0,0.0,0.0,0.0,0.8,The article presents a collection of feel-good news stories with no clear political leanings. There is no discernible bias in the framing or treatment of subjects.,1,0.0
phi3:mini,29138341,-0.1,-0.2,-0.3,0.0,0.95,"The article leans slightly left due to its focus on the plight of victims and their families rather than political ideologies or policies that might lean right. The framing is also mildly left-leaning as it emphasizes support for those affected by tragedy over partisan politics, with a high confidence in this assessment.",1,-0.15000000000000002
phi3:mini,29136599,-0.5,-1.0,-0.8,-1.0,0.9,The article leans slightly left with a clear negative framing towards Israel's actions and policies in Gaza as per the context of Palestinian-Israeli conflict narratives.,1,-0.825
phi3:mini,29137324,-1.0,-1.0,-0.5,0.0,0.9,The article presents a clear left-leaning perspective by focusing on environmental concerns and criticizing government policies that are perceived as inadecurate for addressing climate change issues. The tone is critical of the right's economic priorities over ecological sustainability.,1,-0.625
phi3:mini,29137930,-0.1,-0.2,0.0,0.0,0.95,"The article maintains a slight left-leaning bias due to its focus on scientific discovery and natural history over political or economic issues. The framing is neutral with some leanings towards the sciences rather than politics. There's no apparent favoritism in treatment of ideological sides nor clear guest biases, as it discusses paleontology without inviting politically charged guests.",1,-0.07500000000000001
phi3:mini,29125285,-0.2,-0.3,-0.1,0.0,0.95,"The article presents a critical view of Zurich's efforts to reduce emissions by highlighting the significant indirect emissions from imported goods and services. The framing suggests that while local measures are effective within city limits, they fall short in addressing global consumption patterns. Guest speakers or quoted individuals do not exhibit clear political bias.",1,-0.15
phi3:mini,29134900,-1.0,-1.0,-1.0,-1.0,0.95,"The article presents a clear left-leaning bias by focusing on the struggles and hardships faced by Palestinians in Gaza without mention of any positive developments or right perspectives. The framing is consistently negative towards Israel's policies affecting Gaza. There seems to be no guests with significant political leanings, hence a neutral score for treatment_bias.",1,-1.0
phi3:mini,28980688,-0.1,-0.2,-0.3,0.0,0.95,The article appears to be neutral with a slight lean towards the left due to its focus on economic development and stability in Iraq rather than political issues or conflicts. The framing is slightly negative as it mentions challenges like corruption and instability but also highlights positive aspects such as investment opportunities.,1,-0.15000000000000002
phi3:mini,29138340,-0.1,-0.2,-0.3,0.0,0.95,The article leans slightly to the left due to its critical tone towards climate protection measures and skepticism about new funding for environmental policies in Switzerland. The framing is more right-leaning as it emphasizes financial concerns over potential endorsement of additional taxes or debts.,1,-0.15000000000000002
phi3:mini,29139609,-0.5,-1.0,-0.7,0.0,0.95,The article leans towards a negative portrayal of Russia's actions in Ukraine with clear left-leaning bias and framing.,1,-0.55
phi3:mini,29132309,-0.5,-0.7,-0.4,-0.6,0.9,The article presents a left-leaning perspective by focusing on the struggles and hardships faced in Gaza under Israeli occupation without overtly favoring one side's political ideology or policy stance.,1,-0.55
phi3:mini,29139514,-0.1,-0.2,0.0,0.0,0.95,The article maintains a neutral tone and does not lean towards any political side when discussing the Swiss alarm sirens system update. The language used is factual without evident bias in treatment or framing of information.,1,-0.07500000000000001
phi3:mini,29138377,0.0,-1.0,-1.5,-1.0,0.95,The article presents a negative framing towards both subjects with clear bias against the individuals mentioned in relation to Jeffrey Epstein's scandal. The treatment of guests and subject matter leans left politically.,1,-0.875
phi3:mini,29137477,-0.1,-0.2,-0.3,0.0,0.95,The article appears to lean slightly left due to its focus on social and environmental issues but maintains a generally neutral tone without strong political bias in guests' selection or framing.,1,-0.15000000000000002
phi3:mini,29139808,-0.1,-0.2,-0.3,0.0,0.95,"The article appears to lean slightly left due to its focus on historical and cultural preservation of graffiti art from Pompeii's gladiatorial arena. The framing is subtly right-leaning as it emphasizes the technical aspects over political implications. Treatment bias seems more towards a scientific approach, with less favoritism shown to either side politically.",1,-0.15000000000000002
qwen2.5:3b-instruct,29134931,-0.4,-0.6,-0.5,0.0,0.85,"The article focuses on the disaster in Niscemi and its causes, highlighting the negligence of authorities and lack of proper hazard management. It leans left with concerns about social justice and infrastructure development.",1,-0.375
qwen2.5:3b-instruct,29138341,-0.2,-0.4,-0.3,0.0,0.8,"The article discusses a social assistance program for victims of an incident, highlighting both the benefits and limitations of the system.",1,-0.22500000000000003
qwen2.5:3b-instruct,29137551,-0.2,-0.4,-0.3,0.0,0.85,"The article discusses diplomatic efforts and the role of the OSCE in Ukraine, with a slight left-leaning tone towards international cooperation and mediation roles.",1,-0.22500000000000003
qwen2.5:3b-instruct,29139880,-0.75,-0.62,-0.83,0.0,1.0,"The article focuses on the ongoing negotiations between Ukraine and Russia, highlighting their conflicting positions and Moscow's demands for troop withdrawal from eastern Ukraine. The tone is neutral but leans towards a more aggressive stance by Russia.",1,-0.55
qwen2.5:3b-instruct,29130526,0.0,0.0,0.0,0.0,0.8,The article discusses food safety regulations and pesticide residues in agricultural products without taking a political stance or favoring any particular side.,1,0.0
qwen2.5:3b-instruct,29136599,-0.5,-0.75,-0.625,0.0,1.0,"The article focuses on the limited reopening of a border crossing and its impact on healthcare access, highlighting the restrictive measures by Israel while mentioning no clear political actors.",1,-0.46875
qwen2.5:3b-instruct,29137324,-0.5,-0.75,-0.5,0.0,1.0,"The article leans left in its subject matter, framing, and treatment of the topic. Lisa Mazzone is a prominent figure promoting green initiatives and her views are presented as more favorable than those of critics or opponents.",1,-0.4375
qwen2.5:3b-instruct,29137930,0.0,-0.25,-0.13,0.0,0.87,"The article is neutral in its subject matter and does not favor either side of the political spectrum. The framing is slightly left-leaning, but the treatment bias is minimal, and there are no clear guests with strong political leanings.",1,-0.095
qwen2.5:3b-instruct,29125285,-0.2,-0.4,-0.5,0.0,0.8,"The article highlights the challenges of reducing emissions outside a city's borders, emphasizing personal responsibility over local government action.",1,-0.275
qwen2.5:3b-instruct,29137608,-0.1,-0.3,-0.2,0.0,0.85,"The article focuses on the technological advancements in oceanographic research and their impact, with a slight emphasis on international cooperation and funding issues.",1,-0.15000000000000002
qwen2.5:3b-instruct,29134900,-1.0,-1.0,-1.0,0.0,1.0,"The article focuses on the dire situation in Gaza, highlighting the harsh living conditions and lack of hope for a better future, with no clear positive framing towards either side.",1,-0.75
qwen2.5:3b-instruct,29133473,-0.1,-0.3,-0.2,0.0,0.85,"The article discusses a criminal procedure case and does not contain any overtly political language or bias. The subject matter itself is neutral, but the framing leans slightly towards the left.",1,-0.15000000000000002
qwen2.5:3b-instruct,29132722,-0.45,-0.37,-0.29,0.18,0.96,"The article leans slightly left in its framing and treatment of the topics, with a slight bias towards the initiative '200 francs, ça suffit!' which proposes reducing the SSR fee.",1,-0.23250000000000004
qwen2.5:3b-instruct,28980688,0.0,-0.25,-0.25,0.0,0.85,"The article discusses economic relations between Switzerland and Iraq, with a focus on Swiss companies operating in the country. It does not show clear bias towards either side.",1,-0.125
qwen2.5:3b-instruct,29138895,-0.4,-0.6,-0.5,0.0,0.8,"The article focuses on workplace health issues and worker rights, leaning towards a left-leaning perspective with concerns about low wages and poor working conditions.",1,-0.375
qwen2.5:3b-instruct,29137468,0.0,-0.25,-0.125,0.0,0.875,"The article is neutral in its subject matter and does not favor either side of the political spectrum. The framing leans slightly towards a more investigative tone, but it remains balanced.",1,-0.09375
qwen2.5:3b-instruct,29138628,-0.2,-0.5,-0.4,0.0,0.8,"The article discusses a law aimed at reducing fossil fuel usage and increasing renewable energy, but leans slightly to the right with some critics.",1,-0.275
qwen2.5:3b-instruct,29132483,-0.6,-0.7,-0.8,0.0,1.0,"The article focuses on Lidl's climate strategy and its impact, highlighting their leadership in reducing carbon emissions and supporting sustainable practices among suppliers.",1,-0.5249999999999999
qwen2.5:3b-instruct,29138029,-0.3,-0.4,-0.6,0.0,0.9,"The article focuses on the medical situation following a fire incident, with a slight left-leaning tone towards international treatment of victims.",1,-0.32499999999999996
qwen2.5:3b-instruct,29138340,-0.6,-0.7,-0.8,0.0,1.0,"The article heavily criticizes the proposed initiative, presenting it as overly ambitious and potentially harmful to future generations.",1,-0.5249999999999999
qwen2.5:3b-instruct,29139609,-0.8,-0.7,-0.6,0.0,1.0,"The article focuses on the recruitment of minors by Russia and their involvement in sabotage activities, presenting a predominantly left-leaning perspective on the issue.",1,-0.525
qwen2.5:3b-instruct,29132309,-0.5,-0.75,-0.5,0.0,1.0,"The article focuses on the personal experiences of Nahed and Adèle, highlighting their resilience in the face of violence and hardship during the Gaza conflict.",1,-0.4375
qwen2.5:3b-instruct,29139514,0.0,0.0,0.0,0.0,0.8,"The article discusses a Swiss alarm system test and its implementation, showing no clear political bias.",1,0.0
qwen2.5:3b-instruct,29138377,-0.8,-0.9,-1.0,-0.7,0.95,"The article heavily focuses on high-profile political and social figures associated with Jeffrey Epstein, presenting their interactions in a negative light, which is clearly left-leaning.",1,-0.8500000000000001
qwen2.5:3b-instruct,29137477,0.0,0.0,0.0,0.0,1.0,"The article covers a variety of topics ranging from medical innovations to environmental solutions, sustainable agriculture practices, and social trends without taking any clear political stance.",1,0.0
qwen2.5:3b-instruct,29139808,0.0,-0.25,-0.25,0.0,0.8,"The article discusses archaeological graffiti found in the ruins of Pompeii, focusing on technological advancements and scientific research. It does not show any clear bias towards left or right.",1,-0.125
gemma3:4b,29134931,0.2,0.3,0.1,0.0,0.8,"The article primarily focuses on a natural disaster and its consequences, presenting a factual account. There's a slight leaning towards highlighting the government's response and the potential for long-term issues related to compensation and infrastructure projects. The inclusion of quotes from a resident and a geologist adds credibility.",1,0.15
gemma3:4b,29138341,0.1,0.2,0.3,0.2,0.8,"The article focuses on a specific incident (an unspecified fire) and the subsequent financial support provided by the Swiss government. It presents a neutral framing of the situation, highlighting both the challenges and the solutions. The inclusion of quotes from individuals affected and officials involved offers a balanced perspective.",1,0.2
gemma3:4b,29137551,0.2,0.3,0.1,0.0,0.7,"The article focuses on Swiss diplomatic efforts regarding the Ukraine conflict, primarily through the OSCE. It presents a neutral account of Cassis's meetings with Ukrainian and Russian officials, highlighting the OSCE's role and past contributions while acknowledging the organization's current marginalization. The piece includes perspectives from both the Swiss and Russian governments.",1,0.15
gemma3:4b,29139880,0.2,0.3,0.1,-0.3,0.8,"The article presents information from both Ukrainian and Russian perspectives, reflecting a neutral stance on the subject matter. The framing leans slightly towards acknowledging Russian concerns regarding the conflict and Ukrainian demands. The inclusion of quotes from both sides suggests a balanced, though cautious, approach.",1,0.075
gemma3:4b,29130526,0.0,0.2,0.3,0.0,0.8,"This article reports on a food safety inspection regarding pesticide residue levels in Swiss fruits and vegetables. The framing focuses on exceeding legal limits, presenting a cautious tone. The treatment is neutral, simply reporting the findings of the inspection.",1,0.125
gemma3:4b,29136599,0.3,0.2,0.7,-0.2,0.8,"The article primarily focuses on the humanitarian crisis in Gaza and the restrictions imposed by Israel, presenting a critical view of the situation. It highlights the need for aid access and the impact of Israeli restrictions. The article leans slightly right due to its focus on Israeli actions and casualties.",1,0.25
gemma3:4b,29137324,0.6,0.8,0.7,0.0,0.85,"The article heavily favors the left-leaning Green Party's perspective on climate action, framing the initiative as a necessary and beneficial investment. It consistently highlights the positive aspects of the proposal and criticizes the current federal government's approach as insufficient. The focus on renewable energy, sustainable development, and addressing climate change aligns with left-leaning priorities.",1,0.5249999999999999
gemma3:4b,29137930,0.0,0.1,0.0,0.0,0.8,"The article focuses on a paleontological discovery, presenting scientific findings about a fossilized vomit and the animals it contained. There is no explicit political leaning in the subject matter. The tone is neutral and informative, describing the discovery and its implications for understanding ancient ecosystems. The inclusion of a paleontologist adds a credible expert voice.",1,0.025
gemma3:4b,29125285,0.2,0.3,0.1,0.0,0.7,"The article focuses on Zurich's efforts to combat climate change, highlighting both local actions and the significant impact of imported goods and air travel. It presents a nuanced view, acknowledging local successes while emphasizing the broader global context of consumption-driven emissions. The discussion of international comparisons adds a layer of complexity.",1,0.15
gemma3:4b,29137608,0.0,0.3,0.2,0.0,0.8,"The article discusses oceanographic research and international collaborations, presenting a factual overview of the Argo program. It highlights the importance of data collection for climate change research and strategic applications. The focus on international cooperation and funding challenges suggests a balanced perspective.",1,0.125
gemma3:4b,29134900,-0.6,0.7,0.8,0.9,0.8,"The article heavily frames the situation in Gaza as dire, focusing on suffering and humanitarian crises. It presents a predominantly left-leaning perspective by highlighting Israeli actions and international inaction, featuring voices directly from Gaza residents and UN officials. The consistent emphasis on hardship and displacement strongly favors a critical stance.",1,0.45
gemma3:4b,29133473,0.0,0.1,0.1,0.0,0.8,"The article focuses on a legal investigation related to a fire incident. It presents the facts of the case and the legal proceedings without explicitly taking a political stance. The treatment of the involved parties (municipality, security personnel) is relatively neutral, highlighting the investigation's purpose and the legal actions taken.",1,0.05
gemma3:4b,29132722,0.3,0.2,0.4,0.1,0.7,"The article primarily discusses Swiss political initiatives, particularly regarding the SSR (Swiss Broadcasting Corporation) redevance, the climate fund, and the introduction of individual income taxation. It exhibits a left-leaning framing by highlighting opposition to the SSR redevance from key political parties and emphasizing concerns about centralization and regional impact. The treatment is somewhat favorable to the left, as it focuses on the arguments against the redevance and the support for the taxation reform, while also detailing the strong opposition from traditional right-wing parties. The guests (quoted speakers) are predominantly from left-leaning parties and institutions, reflecting the article's overall perspective.",1,0.25
gemma3:4b,28980688,0.1,0.2,0.3,0.4,0.8,"The article presents a generally positive view of Swiss-Iraqi economic relations, highlighting investment opportunities and the benefits of Swiss expertise. It features voices from both the Swiss and Iraqi sides, emphasizing mutual interests and the potential for collaboration. The article acknowledges risks but leans towards optimism regarding Iraq's economic development.",1,0.25
gemma3:4b,29138895,0.3,0.6,0.7,0.2,0.8,"The article primarily focuses on worker health and economic concerns, presenting a critique of current labor practices and policies. The framing emphasizes negative trends like increased illness, stagnant wages, and employer practices, leaning slightly left. The USS representatives consistently advocate for worker protections and policy changes, further solidifying a left-leaning perspective.",1,0.44999999999999996
gemma3:4b,29137468,0.0,0.1,0.0,0.0,0.8,"The article reports on a police investigation related to a fire in Crans-Montana. It details the questioning of a firefighter, David Vocat, and references a similar case involving the Moretti couple. The framing is neutral, focusing on the procedural aspects of the investigation.",1,0.025
gemma3:4b,29138628,0.6,0.4,0.3,-0.4,0.8,"The article focuses on renewable energy and energy sovereignty, reflecting a left-leaning approach to environmental policy. While acknowledging some right-leaning voices (UDC, concerns about costs), the framing emphasizes the need for ambitious goals and critiques of potential lobbying influence. The article highlights opposition from groups like Ensemble à Gauche and the UDC, suggesting a predominantly left-leaning perspective.",1,0.225
gemma3:4b,29132483,0.2,0.3,0.3,0.0,0.8,"The article focuses on Lidl's climate strategy and its positive ranking compared to other supermarkets, presenting a favorable view of their environmental efforts. It contrasts this with the lagging performance of Swiss supermarkets, highlighting a lack of detailed plans. The overall tone is supportive of proactive climate initiatives.",1,0.2
gemma3:4b,29138029,0.0,0.0,0.0,0.0,0.8,"The article provides a factual update on the victims and injured from the Crans-Montana disaster, detailing hospitalizations and transfers across Switzerland and internationally. It focuses on numbers and locations without explicitly taking a political stance. The reporting is neutral in tone and does not favor any particular group or perspective.",1,0.0
gemma3:4b,29138340,0.6,0.7,0.8,-0.3,0.85,"The article primarily frames the debate around a climate fund initiative, leaning slightly towards supporting the initiative due to the prominence of the Socialist Party and Green Party voices. It consistently presents arguments against the fund's potential for debt and rigidity, favoring a more cautious approach to climate action. The repeated emphasis on existing legal frameworks and Swiss financial prudence further reinforces this right-leaning perspective.",1,0.4499999999999999
